1 (0.13145347426148682, 'History')
101 (0.000739421598040086, 'Asia')
102 (0.000728508895911534, 'Cuba')
103 (0.0007283971360343125, 'Evolution')
104 (0.0007283971360343125, 'Big_Bang')
105 (0.0007266922169246791, 'Cyprus')
106 (0.0007200128464019492, 'Hinduism')
107 (0.0007173179573230207, 'Astronomy')
108 (0.0007116090142078618, 'American_Civil_War')
109 (0.0007097690665917796, 'Greek_mythology')
110 (0.0007097690665917796, 'Battle_of_Marathon')
111 (0.0007058555319419616, '1st_century_BC')
112 (0.00070115620782332, 'Adolf_Hitler')
113 (0.0006968455050384563, 'Clay')
114 (0.0006952483218189171, 'Bulgaria')
115 (0.0006948548377722947, 'Russia')
116 (0.0006916160642861259, 'Florida')
117 (0.0006915330719507202, 'Cape_Town')
118 (0.0006797387061136168, 'Charlemagne')
119 (0.0006782951721605111, 'Japan')
120 (0.0006745962627975868, 'Gulf_of_Mexico')
121 (0.000672755447860302, 'Mediterranean_Sea')
122 (0.00067236420399062, 'Denmark')
123 (0.0006682795824741629, 'Asteroid')
124 (0.0006672512304065888, 'Bill_Clinton')
125 (0.0006668415602759165, 'North_America')
126 (0.0006661694732763779, 'Bacteria')
127 (0.0006622696313243262, 'Arabic_language')
128 (0.0006621859525534606, 'Great_Lakes')
129 (0.0006614540358834901, 'Jew')
130 (0.0006591069079438539, 'California')
131 (0.0006574463230097996, 'Capital')
132 (0.0006563081319882305, 'South_Africa')
133 (0.0006530808419027202, 'Renaissance')
134 (0.0006525812980209946, 'Spain')
135 (0.0006497521991786248, 'Hurricane_Katrina')
136 (0.0006496208962826723, 'War')
137 (0.0006466426308265866, 'Globalization')
138 (0.0006452628022205613, 'Levee_failures_in_Greater_New_Orleans%2C_2005')
139 (0.0006452628022205613, 'Hydrology')
140 (0.0006452628022205613, 'Hurricane_Camille')
141 (0.0006452628022205613, 'Eye_%28cyclone%29')
142 (0.0006452628022205613, 'Effect_of_Hurricane_Katrina_on_New_Orleans')
143 (0.0006452628022205613, '2005_Atlantic_hurricane_season')
144 (0.000641458641558413, 'Mesopotamia')
145 (0.0006389998097870727, 'Ice_age')
146 (0.0006365469064367905, 'Fertile_Crescent')
147 (0.000636363641310395, 'Atom')
148 (0.0006351628787341094, 'Brazil')
149 (0.0006347712842224167, 'Fire')
150 (0.0006332362290470811, 'Sumer')
151 (0.0006249707243435763, 'Roman_Empire')
152 (0.0006244999536510891, 'United_Kingdom')
153 (0.000623417045824959, 'Age_of_Enlightenment')
154 (0.0006220163098375206, 'Western_Roman_Empire')
155 (0.0006220163098375206, 'Homer')
156 (0.0006218440328580146, 'Islam')
157 (0.0006202505394495541, 'Global_warming')
158 (0.0006199737029079312, 'Election')
159 (0.0006091713607382621, 'Confucianism')
160 (0.0006083693579845757, 'Holy_Roman_Empire')
161 (0.0006080951972338515, 'Persian_Empire')
162 (0.0006078872036763518, 'Middle_East')
163 (0.0006076723198759573, 'Culture')
164 (0.0006050137021087849, 'Desmond_Tutu')
165 (0.0006050137021087849, 'Crime')
166 (0.0006050137021087849, 'Afrikaans')
167 (0.000604630703805496, 'Ethanol')
168 (0.000604630703805496, 'Chlorine')
169 (0.000604630703805496, 'Aluminium_chloride')
170 (0.0006028094548880606, 'Euro')
171 (0.0005995733443760222, '17th_century')
172 (0.0005982049558332891, 'Architecture')
173 (0.0005970249544479264, '7th_century')
174 (0.0005970249544479264, '12th_century')
175 (0.000595984707896589, 'Olympic_Games')
176 (0.0005936197401937101, 'Ethiopia')
177 (0.000591985607232133, 'Julius_Caesar')
178 (0.0005919468619077383, 'Fascism')
179 (0.0005909325529671886, 'Iran')
180 (0.0005903514447883751, 'Flanders')
181 (0.0005894760637166854, 'Heracles')
182 (0.0005894760637166854, 'Hellenistic_Greece')
183 (0.0005894760637166854, 'Greek_War_of_Independence')
184 (0.0005894760637166854, 'First_Macedonian_War')
185 (0.0005894760637166854, 'Euclid')
186 (0.0005894760637166854, 'Epaminondas')
187 (0.0005894760637166854, 'Corinthian_War')
188 (0.0005894760637166854, 'Alcibiades')
189 (0.0005888994157489636, 'Ethics')
190 (0.0005885815115515094, 'Crusades')
191 (0.0005883345982857863, 'Earth%27s_atmosphere')
192 (0.0005881669256637439, 'Franks')
193 (0.0005857244921018472, 'New_Zealand')
194 (0.0005854088333830239, 'Philosophy')
195 (0.0005849401464996666, 'Buddha')
196 (0.0005825075022801149, 'Iron')
197 (0.0005821880044025719, 'HIV')
198 (0.0005805459012132949, 'Sanskrit')
199 (0.0005804665859497018, 'Chinese_language')
200 (0.000580044976681656, 'Guinea-Bissau')
201 (0.0005789877583325302, 'Assyria')
202 (0.0005775298589855788, 'Art')
203 (0.0005770180536169997, 'Augustus')
204 (0.0005734888229314546, 'Moon')
205 (0.0005723246443727255, 'Nazism')
206 (0.0005710081024671631, 'Gautama_Buddha')
207 (0.0005701807925406042, 'Dublin')
208 (0.0005696245979785211, 'Religion')
209 (0.0005686385658851739, 'Pakistan')
210 (0.000567429607523439, 'Geography')
211 (0.0005664805429911934, 'Finland')
212 (0.000564287928659641, 'Vietnam')
213 (0.000562912926718088, 'Film')
214 (0.000562912926718088, 'Advertising')
215 (0.000562726583251838, 'Dark_Ages')
216 (0.0005625073243719311, 'Heliocentrism')
217 (0.0005625073243719311, 'Gregor_Mendel')
218 (0.0005625073243719311, 'Gravitation')
219 (0.0005625073243719311, 'Geometry')
220 (0.0005625073243719311, 'Galileo_Galilei')
221 (0.0005625073243719311, 'Francis_Crick')
222 (0.0005625073243719311, 'Francis_Bacon')
223 (0.0005625073243719311, 'Empiricism')
224 (0.0005625073243719311, 'Electrical_engineering')
225 (0.0005625073243719311, 'Eilmer_of_Malmesbury')
226 (0.0005625073243719311, 'Edmond_Halley')
227 (0.0005625073243719311, 'Ecology')
228 (0.0005625073243719311, 'Dmitri_Mendeleev')
229 (0.0005625073243719311, 'Charles_Darwin')
230 (0.0005625073243719311, 'Calculus')
231 (0.0005625073243719311, 'Augustine_of_Hippo')
232 (0.0005625073243719311, 'Apollo_8')
233 (0.0005625073243719311, 'Antoine_Lavoisier')
234 (0.0005625073243719311, 'Algebra')
235 (0.0005625073243719311, 'Alchemy')
236 (0.0005625073243719311, 'Albert_Einstein')
237 (0.0005625073243719311, 'Adam_Smith')
238 (0.0005625073243719311, '8th_century')
239 (0.0005625073243719311, '1_Ceres')
240 (0.0005609894371786727, 'Atheism')
241 (0.000560544638663351, 'League_of_Nations')
242 (0.0005595777070795984, 'Mozambique')
243 (0.0005591474339421941, 'Poland')
244 (0.0005561568351139841, 'Anarchism')
245 (0.000552630858862042, 'Archbishop_of_Canterbury')
246 (0.0005525308596238011, 'Literature')
247 (0.000550950587401115, 'Benin')
248 (0.0005499891231180617, 'Trojan_War')
249 (0.0005499891231180617, 'Roman_Greece')
250 (0.0005484852126106415, 'People%27s_Republic_of_China')
251 (0.0005483672398118539, 'British_monarchy')
252 (0.0005463957000060162, 'Medicine')
253 (0.0005453091637709175, 'Dutch_language')
254 (0.0005453091637709175, 'Bantu')
255 (0.0005444335567978451, 'Irrigation')
256 (0.0005443341630709237, 'Monarchy')
257 (0.000542588759855526, 'Anno_Domini')
258 (0.0005422756250451276, 'Great_Britain')
259 (0.0005399390596085271, 'Ottoman_Empire')
260 (0.0005398711033269251, 'Turkey')
261 (0.0005380856411975025, 'Taoism')
262 (0.0005373371765075665, 'Plato')
263 (0.0005371331112708368, 'Copper')
264 (0.0005365430247652427, 'Diamond')
265 (0.0005364636027314908, 'Firearm')
266 (0.0005363344918748055, 'Edwin_of_Northumbria')
267 (0.0005363344918748055, 'Edward_the_Confessor')
268 (0.0005363344918748055, 'Domesday_Book')
269 (0.0005363344918748055, 'Coin')
270 (0.0005363344918748055, 'Bede')
271 (0.0005363344918748055, 'Alfred_the_Great')
272 (0.0005363344918748055, '4th_century')
273 (0.0005358935311591365, 'Inca_Empire')
274 (0.0005336087991149477, 'Animal')
275 (0.000533251185474316, 'Fish')
276 (0.0005309556933760748, 'Electronics')
277 (0.0005309556933760748, 'Computer_programming')
278 (0.0005309556933760748, 'Charles_Babbage')
279 (0.0005309556933760748, 'Central_processing_unit')
280 (0.0005309556933760748, 'Boolean_logic')
281 (0.0005309556933760748, 'Alan_Turing')
282 (0.0005309556933760748, 'Abacus')
283 (0.0005299706082474507, 'AIDS')
284 (0.0005285017035372738, 'Korea')
285 (0.00052834903346464, 'Portugal')
286 (0.0005282170447256365, '21st_century')
287 (0.0005247371214552462, 'Volcano')
288 (0.000524589233147094, 'Canadian_Pacific_Railway')
289 (0.000524589233147094, 'Canadian_House_of_Commons')
290 (0.0005242314473138062, 'Oligarchy')
291 (0.0005238919022271872, 'United_Nations')
292 (0.0005227090346380435, 'Beach')
293 (0.0005207490982555177, 'French_Revolution')
294 (0.0005202445171900987, 'Nazi_Germany')
295 (0.0005172787157013821, 'NATO')
296 (0.0005169119080417933, 'Brussels')
297 (0.0005151520340553074, 'Genghis_Khan')
298 (0.0005144782813473224, 'Helium')
299 (0.0005144782813473224, 'Genetic_code')
300 (0.0005144782813473224, 'Flower')
301 (0.0005144782813473224, 'Eocene')
302 (0.0005144782813473224, 'Dolphin')
303 (0.0005144782813473224, 'Dinosaur')
304 (0.0005144782813473224, 'Crystal')
305 (0.0005144782813473224, 'Cretaceous-Tertiary_extinction_event')
306 (0.0005144782813473224, 'Cretaceous')
307 (0.0005144782813473224, 'Chimpanzee')
308 (0.0005144782813473224, 'Chemical_element')
309 (0.0005144782813473224, 'Carbon_dioxide')
310 (0.0005144782813473224, 'Brain')
311 (0.0005144782813473224, 'Bonobo')
312 (0.0005144782813473224, 'Bird')
313 (0.0005144782813473224, 'Biosphere')
314 (0.0005144782813473224, 'Binary_star')
315 (0.0005144782813473224, 'Arthropod')
316 (0.0005144782813473224, 'Archaeopteryx')
317 (0.0005144782813473224, 'Ammonia')
318 (0.0005140939719966696, 'Ramayana')
319 (0.0005136701955014708, 'Education')
320 (0.0005123499213769161, 'Israel')
321 (0.000512085174844751, 'Solar_System')
322 (0.0005119213398690163, 'Politics')
323 (0.0005116132996354137, 'Law')
324 (0.0005060297695775656, 'Google')
325 (0.0005044953421051751, 'Yellow_River')
326 (0.0005044953421051751, 'Indus_Valley_Civilization')
327 (0.0005035785168704181, 'Government')
328 (0.0005035785168704181, 'Flag_of_South_Africa')
329 (0.0005035785168704181, 'Employment')
330 (0.0005034281217785009, 'Cape_Verde')
331 (0.0005033991026360305, 'Chola_dynasty')
332 (0.000503161126010262, 'Telecommunication')
333 (0.0005026253654622874, 'Poverty')
334 (0.0005024717716523626, 'Mahabharata')
335 (0.0005017233069624263, 'Thucydides')
336 (0.000500827668291102, '14th_century')
337 (0.0005002796616139964, 'Pontiac%27s_Rebellion')
338 (0.0005002796616139964, 'Political_science')
339 (0.0005002796616139964, 'Measles')
340 (0.0005002796616139964, 'Mandan')
341 (0.0005002796616139964, 'God')
342 (0.0004984203352981626, 'Harry_S._Truman')
343 (0.0004978799792842602, 'Industrial_Revolution')
344 (0.0004964726102879214, 'Ukraine')
345 (0.0004962023858289099, 'Mercury_%28element%29')
346 (0.0004959524239978485, 'Cambodia')
347 (0.0004959152792634889, 'Siege')
348 (0.0004956712435659538, 'Roman_Catholic_Church')
349 (0.0004948123778647434, 'Cattle')
350 (0.000494500054229799, 'Famine')
351 (0.0004940862103355804, 'Coal')
352 (0.0004938949081498667, 'Austria')
353 (0.0004935039826908827, 'Paris')
354 (0.0004924446381880605, 'South_America')
355 (0.00048718355708680564, 'Viking')
356 (0.00048623932677559776, 'Nuclear_weapon')
357 (0.00048535760985800086, 'Science')
358 (0.0004851941496319367, 'Energy')
359 (0.0004851941496319367, 'Argentina')
360 (0.0004851778395472715, 'Babylonia')
361 (0.00048379120658016494, 'Fidel_Castro')
362 (0.00048262557272501724, 'Cholera')
363 (0.00048201930449110337, 'Johannes_Kepler')
364 (0.00048122108563230804, 'Belarus')
365 (0.0004810334109386628, 'Terrorism')
366 (0.0004808099829874049, 'Abraham_Lincoln')
367 (0.0004807528191642051, 'Communication')
368 (0.0004805036729043422, 'Sculpture')
369 (0.0004805036729043422, 'Pompeii')
370 (0.0004805036729043422, 'Neoclassicism')
371 (0.0004801955983461762, 'London')
372 (0.00047995384785915965, 'Slavery')
373 (0.00047928471628175745, 'Switzerland')
374 (0.00047776993054429376, 'Karl_Marx')
375 (0.0004764713052996109, 'Plate_tectonics')
376 (0.0004762806598408137, 'Libya')
377 (0.00047622251873599485, 'Mikhail_Gorbachev')
378 (0.000474303300729336, 'Adelaide')
379 (0.00047361386675559634, 'Sweden')
380 (0.0004734912455547979, 'Climate_change')
381 (0.0004733708695180987, 'Red_Sea')
382 (0.00047273070718205254, 'Scotland')
383 (0.0004712838781200719, 'Conflict')
384 (0.00047124579551476806, 'Demosthenes')
385 (0.00047124579551476806, 'Athena')
386 (0.0004709952480032647, 'Pericles')
387 (0.00047047405978723156, 'Amsterdam')
388 (0.00046961405191397137, 'Mississippi_River')
389 (0.0004695835963045779, 'Franklin_D._Roosevelt')
390 (0.00046909935899544074, 'Guadeloupe')
391 (0.0004688814725600351, 'Yangtze_River')
392 (0.0004688814725600351, 'Thomas_Aquinas')
393 (0.0004688814725600351, 'Theatre')
394 (0.0004688814725600351, 'Tamil_people')
395 (0.0004688814725600351, 'Romulus_Augustus')
396 (0.0004688814725600351, 'Qin_Shi_Huang')
397 (0.0004688814725600351, 'Lothal')
398 (0.0004688814725600351, 'John_Milton')
399 (0.0004688814725600351, 'Jesus')
400 (0.0004688814725600351, 'Jerusalem')
401 (0.0004688814725600351, 'Invasion')
402 (0.0004688814725600351, 'Hippocrates')
403 (0.0004688814725600351, 'Great_Pyramid_of_Giza')
404 (0.0004688814725600351, 'Egyptian_pyramids')
405 (0.0004688814725600351, 'Edgar_Allan_Poe')
406 (0.0004688814725600351, 'Dance')
407 (0.0004688814725600351, 'Cyrus_the_Great')
408 (0.0004688814725600351, 'Confucius')
409 (0.0004688814725600351, 'Bangladesh')
410 (0.00046887679769791083, 'Fruit')
411 (0.0004680645441564338, 'Vietnam_War')
412 (0.0004679490370484929, 'Vladimir_Lenin')
413 (0.00046769411895854776, 'Currency')
414 (0.00046721671880541136, 'African_slave_trade')
415 (0.00046691848880819816, 'C%C3%B4te_d%27Ivoire')
416 (0.00046661124118292706, 'Metallurgy')
417 (0.0004653099897881075, 'Literacy')
418 (0.0004649256545978062, 'Sun')
419 (0.0004647248082723624, 'Mercantilism')
420 (0.0004640599800310328, 'The_Bahamas')
421 (0.00046352949690515267, 'Netherlands')
422 (0.0004628404374168368, 'United_States_Constitution')
423 (0.00046203707886041125, 'Church_of_England')
424 (0.00046188421723675097, 'Iraq')
425 (0.0004617728936286691, 'Puerto_Rico')
426 (0.00046142161786061234, 'Tourism')
427 (0.00046117129259719324, 'Civil_rights')
428 (0.00046117129259719324, 'Charles_I_of_England')
429 (0.0004610499160424943, 'Marxism')
430 (0.00046056593312697306, 'Crimean_War')
431 (0.0004571406686158563, 'Guinea')
432 (0.0004571406686158563, 'Cooperative')
433 (0.0004571406686158563, 'AT%26T')
434 (0.00045684443220757917, 'Trade_union')
435 (0.0004562295259495398, 'Paleontology')
436 (0.0004562295259495398, 'Max_Weber')
437 (0.00045573177964157473, 'Atlantic_slave_trade')
438 (0.00045480059880502656, 'Tropical_cyclone')
439 (0.0004546766222870795, 'Second_Boer_War')
440 (0.0004543607277871725, 'Greenhouse_effect')
441 (0.0004543607277871725, 'Great_Wall_of_China')
442 (0.0004543607277871725, 'Comet')
443 (0.0004543607277871725, 'City')
444 (0.0004543607277871725, 'Aztec')
445 (0.0004543607277871725, 'Andes')
446 (0.0004543607277871725, 'Albania')
447 (0.0004540863723088282, 'Ireland')
448 (0.000453601037353708, 'Berlin')
449 (0.00045301577400450917, 'Cotton')
450 (0.0004523664500938044, 'Nationalism')
451 (0.0004521883248136172, 'Macedon')
452 (0.000452095734960604, 'Radar')
453 (0.00045173832860336205, 'Khazars')
454 (0.00045002365492330756, 'Harvest')
455 (0.00045002365492330756, 'Francis_Drake')
456 (0.00045002365492330756, 'Fossil')
457 (0.00045002365492330756, 'Finance')
458 (0.00045002365492330756, 'Continent')
459 (0.00045002365492330756, 'Botswana')
460 (0.00045002365492330756, 'Bible')
461 (0.00045002365492330756, 'Benito_Mussolini')
462 (0.00045002365492330756, 'Ape')
463 (0.00045002365492330756, 'African_Great_Lakes')
464 (0.00044914211385884534, 'Russian_Revolution_of_1917')
465 (0.00044897854153261416, 'Pretoria')
466 (0.00044897854153261416, 'Johannesburg')
467 (0.00044872501562016307, 'Hungary')
468 (0.000448653347093215, 'Propaganda')
469 (0.0004484739641776478, 'University')
470 (0.00044835077663733585, 'Ganges_River')
471 (0.00044835077663733585, 'Buddhist_art')
472 (0.00044835077663733585, 'Bhutan')
473 (0.00044835077663733585, 'Angkor')
474 (0.0004479220065890848, 'Greenland')
475 (0.0004479043336746605, 'Catherine_II_of_Russia')
476 (0.00044735952484167255, 'Qing_Dynasty')
477 (0.0004470077477814323, 'Martin_Luther')
478 (0.0004470077477814323, 'Logic')
479 (0.00044680536131379685, 'Minoan_civilization')
480 (0.0004466507457114942, 'Salt')
481 (0.00044587731592273926, 'Mexico')
482 (0.00044487026241795313, 'Kazakhstan')
483 (0.0004448319139621014, 'Tribe')
484 (0.0004443943764549279, 'Ronald_Reagan')
485 (0.0004441870757651465, 'Nelson_Mandela')
486 (0.0004439627414549232, 'Napoleon_I_of_France')
487 (0.0004438232171613662, 'Battle_of_Stalingrad')
488 (0.0004438232171613662, 'Azerbaijan')
489 (0.00044306914507902197, 'Citizenship')
490 (0.0004423983884701995, 'History_of_Puerto_Rico')
491 (0.0004423983884701995, 'Ghana')
492 (0.0004423983884701995, 'Frederick_Douglass')
493 (0.0004423983884701995, 'Edinburgh')
494 (0.0004423983884701995, 'East_Africa')
495 (0.0004423983884701995, 'Central_African_Republic')
496 (0.0004423983884701995, 'Akkadian_Empire')
497 (0.00044208347701361645, 'English_Channel')
498 (0.00044127561013948286, 'Suffrage')
499 (0.000440759442584967, 'Saint_Petersburg')
500 (0.00044035731090871175, 'Horse')
501 (0.0004397122036155904, 'Television')
502 (0.0004389236976543656, 'American_Revolutionary_War')
503 (0.0004387888609592943, 'Athletics_%28track_and_field%29')
504 (0.0004380450798886468, 'Supply_and_demand')
505 (0.00043766517694573455, 'Joseph_Stalin')
506 (0.00043707677858396634, 'Library_of_Alexandria')
507 (0.0004367758705083678, 'Wheat')
508 (0.0004367508868913532, 'Marshall_Plan')
509 (0.00043557862401786835, 'Romania')
510 (0.00043530139781482077, 'Beijing')
511 (0.0004351811150720528, 'North_Korea')
512 (0.00043503571545218807, 'Yugoslavia')
513 (0.0004349276945391402, 'Southern_Africa')
514 (0.0004349276945391402, 'Namibia')
515 (0.0004348202983943644, 'Mining')
516 (0.0004347987377422063, 'Sodium_hydroxide')
517 (0.0004347987377422063, 'Phase_%28matter%29')
518 (0.0004347987377422063, 'Iron%28III%29_chloride')
519 (0.0004347987377422063, 'Hydrochloric_acid')
520 (0.0004334223279071824, 'Lithuania')
521 (0.00043316964393737127, 'Smallpox')
522 (0.0004323602420749464, 'Nigeria')
523 (0.0004322378567487069, 'Italian_Renaissance')
524 (0.0004320118179133305, 'Ptolemy')
525 (0.0004318141409299604, 'Canal')
526 (0.00042994213372410893, 'Moscow')
527 (0.00042978041613778086, 'Laos')
528 (0.0004296961202429674, 'Mummy')
529 (0.0004296961202429674, 'Manuel_I_Komnenos')
530 (0.00042909488395065083, 'Treaty_of_Versailles')
531 (0.00042906973745520895, 'Madagascar')
532 (0.00042695186183392797, 'Baltic_Sea')
533 (0.0004268686713273967, 'Indonesia')
534 (0.0004252977024222906, 'Aircraft_carrier')
535 (0.0004239016360272614, 'Nobel_Peace_Prize')
536 (0.00042377456555187527, 'Yuri_Gagarin')
537 (0.00042347789653756555, 'Tibet')
538 (0.0004229628810321645, 'Universe')
539 (0.00042284529893873583, 'Indian_Ocean')
540 (0.0004226845567263667, 'Sugar')
541 (0.00042250922127292474, 'Napoleonic_Wars')
542 (0.00042244478662340477, 'Game_theory')
543 (0.00042244478662340477, 'Ernest_Rutherford')
544 (0.00042244478662340477, 'Electron')
545 (0.00042244478662340477, 'Edward_Teller')
546 (0.00042244478662340477, 'Columbia_River')
547 (0.00042244478662340477, 'Cancer')
548 (0.00042084636486794494, 'Charles_II_of_England')
549 (0.0004206156564043997, 'Voting')
550 (0.0004206156564043997, 'Tycho_Brahe')
551 (0.0004206156564043997, 'Trigonometry')
552 (0.0004206156564043997, 'Thomas_Hobbes')
553 (0.0004206156564043997, 'The_Origin_of_Species')
554 (0.0004206156564043997, 'Statistics')
555 (0.0004206156564043997, 'Special_relativity')
556 (0.0004206156564043997, 'Solar_eclipse')
557 (0.0004206156564043997, 'Soil_science')
558 (0.0004206156564043997, 'Sigmund_Freud')
559 (0.0004206156564043997, 'Robert_Boyle')
560 (0.0004206156564043997, 'Ren%C3%A9_Descartes')
561 (0.0004206156564043997, 'Rabies')
562 (0.0004206156564043997, 'Quantum_mechanics')
563 (0.0004206156564043997, 'Political_philosophy')
564 (0.0004206156564043997, 'Political_economy')
565 (0.0004206156564043997, 'Philosophiae_Naturalis_Principia_Mathematica')
566 (0.0004206156564043997, 'Periodic_table')
567 (0.0004206156564043997, 'Oceanography')
568 (0.0004206156564043997, 'Noam_Chomsky')
569 (0.0004206156564043997, 'Niels_Bohr')
570 (0.0004206156564043997, 'Nicolaus_Copernicus')
571 (0.0004206156564043997, 'Niccol%C3%B2_Machiavelli')
572 (0.0004206156564043997, 'Neptune')
573 (0.0004206156564043997, 'Natural_selection')
574 (0.0004206156564043997, 'Natural_gas')
575 (0.0004206156564043997, 'Muhammad_ibn_Musa_al-Khwarizmi')
576 (0.0004206156564043997, 'Michael_Faraday')
577 (0.0004206156564043997, 'Meteorology')
578 (0.0004206156564043997, 'Max_Planck')
579 (0.0004206156564043997, 'Matrix_%28mathematics%29')
580 (0.0004206156564043997, 'Mathematical_analysis')
581 (0.0004206156564043997, 'Marco_Polo')
582 (0.0004206156564043997, 'Lunar_eclipse')
583 (0.0004206156564043997, 'Louis_Pasteur')
584 (0.0004206156564043997, 'Linus_Pauling')
585 (0.0004206156564043997, 'Karl_Popper')
586 (0.0004206156564043997, 'John_Maynard_Keynes')
587 (0.0004206156564043997, 'John_Calvin')
588 (0.0004206156564043997, 'James_Clerk_Maxwell')
589 (0.0004206156564043997, 'Isaac_Newton')
590 (0.0004187286536046032, 'Thailand')
591 (0.00041835590198067226, 'Vasco_da_Gama')
592 (0.00041831674414503776, 'Ming_Dynasty')
593 (0.00041820355527279597, 'Stockholm')
594 (0.0004181043489753512, 'Polish-Lithuanian_Commonwealth')
595 (0.0004175773887307818, 'Internet')
596 (0.0004174063812009222, 'Uzbekistan')
597 (0.00041711293316249403, 'Mammal')
598 (0.0004157884495164784, 'Sahara')
599 (0.00041560446750703664, 'The_Holocaust')
600 (0.00041545502279456405, 'Manufacturing')
601 (0.00041538972710291233, 'Greco-Buddhism')
602 (0.00041538972710291233, 'Climate')
603 (0.00041538972710291233, 'Barley')
604 (0.00041538972710291233, 'Aral_Sea')
605 (0.00041432079188789204, 'Library')
606 (0.00041432079188789204, 'International_Space_Station')
