1 (0.07087327439705558, 'History_of_the_world')
224 (0.0, 'Viking')
225 (0.0, 'Vietnam_War')
226 (0.0, 'Vietnam')
227 (0.0, 'Vienna')
228 (0.0, 'Victoria_of_the_United_Kingdom')
229 (0.0, 'Victoria_Cross')
230 (0.0, 'Venezuela')
231 (0.0, 'Vegetation')
232 (0.0, 'Vegetable')
233 (0.0, 'Vasco_da_Gama')
234 (0.0, 'Vanilla')
235 (0.0, 'Uzbekistan')
236 (0.0, 'Utrecht_%28city%29')
237 (0.0, 'Uruguay')
238 (0.0, 'Uranium')
239 (0.0, 'University_of_Chicago')
240 (0.0, 'University_of_Cambridge')
241 (0.0, 'University')
242 (0.0, 'United_States_dollar')
243 (0.0, 'United_States_Senate')
244 (0.0, 'United_States_House_of_Representatives')
245 (0.0, 'United_States_Constitution')
246 (0.0, 'United_States_Congress')
247 (0.0, 'United_States_Bill_of_Rights')
248 (0.0, 'United_States')
249 (0.0, 'United_Nations')
250 (0.0, 'United_Malays_National_Organisation')
251 (0.0, 'United_Kingdom')
252 (0.0, 'Ulysses_S._Grant')
253 (0.0, 'Ukraine')
254 (0.0, 'U.S._state')
255 (0.0, 'Turtle')
256 (0.0, 'Turkmenistan')
257 (0.0, 'Turkey_%28bird%29')
258 (0.0, 'Turkey')
259 (0.0, 'Tunisia')
260 (0.0, 'Tsunami')
261 (0.0, 'Tsar_Bomba')
262 (0.0, 'Tropical_cyclone')
263 (0.0, 'Trojan_War')
264 (0.0, 'Tripoli')
265 (0.0, 'Tripitaka')
266 (0.0, 'Trinity_test')
267 (0.0, 'Trinidad_and_Tobago')
268 (0.0, 'Trigonometry')
269 (0.0, 'Tribe')
270 (0.0, 'Triassic')
271 (0.0, 'Trench_warfare')
272 (0.0, 'Treaty_of_Versailles')
273 (0.0, 'Transport')
274 (0.0, 'Train')
275 (0.0, 'Trade_union')
276 (0.0, 'Tourism')
277 (0.0, 'Toronto')
278 (0.0, 'Tonga')
279 (0.0, 'Tobacco')
280 (0.0, 'Tin')
281 (0.0, 'Timur')
282 (0.0, 'Time_zone')
283 (0.0, 'Tim_Berners-Lee')
284 (0.0, 'Tibet')
285 (0.0, 'Tiananmen_Square_protests_of_1989')
286 (0.0, 'Thunderstorm')
287 (0.0, 'Thomas_Samuel_Kuhn')
288 (0.0, 'Thomas_More')
289 (0.0, 'Thomas_Jefferson')
290 (0.0, 'Thomas_Gainsborough')
291 (0.0, 'Thomas_Edison')
292 (0.0, 'Thomas_Becket')
293 (0.0, 'Thomas_Aquinas')
294 (0.0, 'Third_Servile_War')
295 (0.0, 'Theodore_Roosevelt')
296 (0.0, 'Theatre')
297 (0.0, 'The_Origin_of_Species')
298 (0.0, 'The_Mismeasure_of_Man')
299 (0.0, 'The_Bahamas')
300 (0.0, 'Thailand')
301 (0.0, 'Textile')
302 (0.0, 'Terrorism')
303 (0.0, 'Tennis')
304 (0.0, 'Television')
305 (0.0, 'Telephone')
306 (0.0, 'Telecommunication')
307 (0.0, 'Tel_Aviv')
308 (0.0, 'Technology')
309 (0.0, 'Tea')
310 (0.0, 'TeX')
311 (0.0, 'Tashkent')
312 (0.0, 'Taoism')
313 (0.0, 'Tanzania')
314 (0.0, 'Tank')
315 (0.0, 'Tamil_people')
316 (0.0, 'Tajikistan')
317 (0.0, 'Taiwan')
318 (0.0, 'Syria')
319 (0.0, 'Sydney')
320 (0.0, 'Switzerland')
321 (0.0, 'Sweden')
322 (0.0, 'Swaziland')
323 (0.0, 'Svalbard')
324 (0.0, 'Supreme_Court_of_the_United_States')
325 (0.0, 'Supply_and_demand')
326 (0.0, 'Sunlight')
327 (0.0, 'Sun')
328 (0.0, 'Summer')
329 (0.0, 'Sumer')
330 (0.0, 'Sumatra')
331 (0.0, 'Sugar')
332 (0.0, 'Suffrage')
333 (0.0, 'Suez_Canal')
334 (0.0, 'Sudan')
335 (0.0, 'Sub-Saharan_Africa')
336 (0.0, 'Stockholm')
337 (0.0, 'Stephen_Jay_Gould')
338 (0.0, 'Steel')
339 (0.0, 'Steam_engine')
340 (0.0, 'Statistics')
341 (0.0, 'Star')
342 (0.0, 'Stained_glass')
343 (0.0, 'Sri_Lanka')
344 (0.0, 'Sputnik_1')
345 (0.0, 'Sphere')
346 (0.0, 'Special_relativity')
347 (0.0, 'Spanish_language')
348 (0.0, 'Spanish_Inquisition')
349 (0.0, 'Spanish_Armada')
350 (0.0, 'Spain')
351 (0.0, 'Space_exploration')
352 (0.0, 'Space_Race')
353 (0.0, 'Soviet_Union')
354 (0.0, 'Southern_Africa')
355 (0.0, 'South_Korea')
356 (0.0, 'South_China_Sea')
357 (0.0, 'South_America')
358 (0.0, 'Somalia')
359 (0.0, 'Solomon_Islands')
360 (0.0, 'Solar_eclipse')
361 (0.0, 'Solar_System')
362 (0.0, 'Soil_science')
363 (0.0, 'Sodium_hydroxide')
364 (0.0, 'Socialism')
365 (0.0, 'Snowball_Earth')
366 (0.0, 'Smallpox')
367 (0.0, 'Slavery')
368 (0.0, 'Singapore')
369 (0.0, 'Sim%C3%B3n_Bol%C3%ADvar')
370 (0.0, 'Silver')
371 (0.0, 'Sikkim')
372 (0.0, 'Sigmund_Freud')
373 (0.0, 'Sierra_Leone')
374 (0.0, 'Siege')
375 (0.0, 'Ship')
376 (0.0, 'Shetland')
377 (0.0, 'Serbia')
378 (0.0, 'September_11%2C_2001_attacks')
379 (0.0, 'Seed')
380 (0.0, 'Second_Boer_War')
381 (0.0, 'Scurvy')
382 (0.0, 'Sculpture')
383 (0.0, 'Scramble_for_Africa')
384 (0.0, 'Scouting')
385 (0.0, 'Scottish_Gaelic_language')
386 (0.0, 'Scotland_in_the_High_Middle_Ages')
387 (0.0, 'Scotland')
388 (0.0, 'Science')
389 (0.0, 'Saudi_Arabia')
390 (0.0, 'Santorini')
391 (0.0, 'Sanskrit')
392 (0.0, 'Samoa')
393 (0.0, 'Salvador_Dal%C3%AD')
394 (0.0, 'Salt')
395 (0.0, 'Saint_Vincent_and_the_Grenadines')
396 (0.0, 'Saint_Petersburg')
397 (0.0, 'Saint_Lucia')
398 (0.0, 'Saint_Kitts_and_Nevis')
399 (0.0, 'Saint-Pierre_and_Miquelon')
400 (0.0, 'Sahara')
401 (0.0, 'Saffron')
402 (0.0, 'S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe')
403 (0.0, 'S%C3%A3o_Paulo')
404 (0.0, 'Rwanda')
405 (0.0, 'Rutherford_B._Hayes')
406 (0.0, 'Russian_language')
407 (0.0, 'Russian_constitutional_crisis_of_1993')
408 (0.0, 'Russia')
409 (0.0, 'Royal_Navy')
410 (0.0, 'Royal_Marines')
411 (0.0, 'Royal_Dutch_Shell')
412 (0.0, 'Royal_Air_Force')
413 (0.0, 'Rotterdam')
414 (0.0, 'Ronald_Reagan')
415 (0.0, 'Romulus_Augustus')
416 (0.0, 'Rome')
417 (0.0, 'Romanticism')
418 (0.0, 'Romania')
419 (0.0, 'Roman_Vishniac')
420 (0.0, 'Roman_Empire')
421 (0.0, 'Roman_Catholic_Church')
422 (0.0, 'Roman_Britain')
423 (0.0, 'Rococo')
424 (0.0, 'Robert_Oppenheimer')
425 (0.0, 'Robert_Boyle')
426 (0.0, 'Rio_de_Janeiro')
427 (0.0, 'Richard_Stallman')
428 (0.0, 'Richard_Feynman')
429 (0.0, 'Rice')
430 (0.0, 'Rhine')
431 (0.0, 'Republic_of_Ireland')
432 (0.0, 'Republic_of_China')
433 (0.0, 'Reptile')
434 (0.0, 'Renaissance')
435 (0.0, 'Ren%C3%A9_Descartes')
436 (0.0, 'Religious_Society_of_Friends')
437 (0.0, 'Religion')
438 (0.0, 'Red_Sea')
439 (0.0, 'Recycling')
440 (0.0, 'Raphael')
441 (0.0, 'Ramayana')
442 (0.0, 'Rail_transport')
443 (0.0, 'Radium')
444 (0.0, 'Radio')
445 (0.0, 'Radar')
446 (0.0, 'Rabindranath_Tagore')
447 (0.0, 'Rabies')
448 (0.0, 'Qur%27an')
449 (0.0, 'Quantum_mechanics')
450 (0.0, 'Qing_Dynasty')
451 (0.0, 'Qin_Shi_Huang')
452 (0.0, 'Qin_Dynasty')
453 (0.0, 'Qatar')
454 (0.0, 'Punctuated_equilibrium')
455 (0.0, 'Puerto_Rico')
456 (0.0, 'Publishing')
457 (0.0, 'Ptolemy')
458 (0.0, 'Pterosaur')
459 (0.0, 'Proton')
460 (0.0, 'Protein')
461 (0.0, 'Property')
462 (0.0, 'Propaganda')
463 (0.0, 'Programming_language')
464 (0.0, 'Printmaking')
465 (0.0, 'Princeton_University')
466 (0.0, 'Prime_Minister_of_the_United_Kingdom')
467 (0.0, 'Pretoria')
468 (0.0, 'President_of_the_United_States')
469 (0.0, 'Precambrian')
470 (0.0, 'Pound_sterling')
471 (0.0, 'Pottery')
472 (0.0, 'Potato')
473 (0.0, 'Portuguese_language')
474 (0.0, 'Portuguese_Communist_Party')
475 (0.0, 'Portugal')
476 (0.0, 'Pope_John_Paul_II')
477 (0.0, 'Pope')
478 (0.0, 'Poor_Law')
479 (0.0, 'Pontiac%27s_Rebellion')
480 (0.0, 'Pompeii')
481 (0.0, 'Pollution')
482 (0.0, 'Politics')
483 (0.0, 'Polish-Soviet_War')
484 (0.0, 'Polish-Muscovite_War_%281605%E2%80%931618%29')
485 (0.0, 'Polish-Lithuanian_Commonwealth')
486 (0.0, 'Police')
487 (0.0, 'Poland')
488 (0.0, 'Poetry')
489 (0.0, 'Pneumonia')
490 (0.0, 'Plutonium')
491 (0.0, 'Plato')
492 (0.0, 'Plate_tectonics')
493 (0.0, 'Plant')
494 (0.0, 'Picts')
495 (0.0, 'Physics')
496 (0.0, 'Photosynthesis')
497 (0.0, 'Photography')
498 (0.0, 'Phoenix_Zoo')
499 (0.0, 'Philosophy')
500 (0.0, 'Philosophiae_Naturalis_Principia_Mathematica')
501 (0.0, 'Philippines')
502 (0.0, 'Philip_II_of_Spain')
503 (0.0, 'Phase_%28matter%29')
504 (0.0, 'Petroleum')
505 (0.0, 'Peter_Paul_Rubens')
506 (0.0, 'Peter_I_of_Russia')
507 (0.0, 'Peru')
508 (0.0, 'Persian_Gulf')
509 (0.0, 'Persian_Empire')
510 (0.0, 'Permian')
511 (0.0, 'Periodic_table')
512 (0.0, 'People%27s_Republic_of_China')
513 (0.0, 'Penda_of_Mercia')
514 (0.0, 'Pedro_del_Valle')
515 (0.0, 'Pedagogy')
516 (0.0, 'Paul_Dirac')
517 (0.0, 'Paul_C%C3%A9zanne')
518 (0.0, 'Parthenon')
519 (0.0, 'Parliamentary_system')
520 (0.0, 'Parliament_of_the_United_Kingdom')
521 (0.0, 'Paris')
522 (0.0, 'Panama_Canal')
523 (0.0, 'Panama')
524 (0.0, 'Pali_Canon')
525 (0.0, 'Paleontology')
526 (0.0, 'Paleocene')
527 (0.0, 'Pakistan')
528 (0.0, 'Painting')
529 (0.0, 'Pacific_Ocean')
530 (0.0, 'Pablo_Picasso')
531 (0.0, 'Ozone')
532 (0.0, 'Oxygen')
533 (0.0, 'Ottoman_Empire')
534 (0.0, 'Ottawa')
535 (0.0, 'Ostrich')
536 (0.0, 'Orkney')
537 (0.0, 'Organism')
538 (0.0, 'Oregon')
539 (0.0, 'Ordovician')
540 (0.0, 'Olympic_Games')
541 (0.0, 'Oliver_Cromwell')
542 (0.0, 'Oligarchy')
543 (0.0, 'Odyssey')
544 (0.0, 'Oceanography')
545 (0.0, 'Oceania')
546 (0.0, 'Nuclear_weapon')
547 (0.0, 'Nuclear_fission')
548 (0.0, 'Norway')
549 (0.0, 'North_Sea')
550 (0.0, 'North_Korea')
551 (0.0, 'North_America')
552 (0.0, 'North_Africa')
553 (0.0, 'Norse_mythology')
554 (0.0, 'Norfolk')
555 (0.0, 'Nobel_Peace_Prize')
556 (0.0, 'Noam_Chomsky')
557 (0.0, 'Nitrogen')
558 (0.0, 'Nile')
559 (0.0, 'Nigeria')
560 (0.0, 'Niger_River')
561 (0.0, 'Niels_Bohr')
562 (0.0, 'Nicolaus_Copernicus')
563 (0.0, 'Nickel')
564 (0.0, 'Niccol%C3%B2_Machiavelli')
565 (0.0, 'Nicaragua')
566 (0.0, 'Newspaper')
567 (0.0, 'Newark%2C_New_Jersey')
568 (0.0, 'New_Zealand')
569 (0.0, 'New_York_City')
570 (0.0, 'Neutron')
571 (0.0, 'Netherlands_Antilles')
572 (0.0, 'Netherlands')
573 (0.0, 'Neptunium')
574 (0.0, 'Neptune')
575 (0.0, 'Nepal')
576 (0.0, 'Neoclassicism')
577 (0.0, 'Nelson_Mandela')
578 (0.0, 'Neil_Armstrong')
579 (0.0, 'Nazism')
580 (0.0, 'Nazi_Germany')
581 (0.0, 'Nauru')
582 (0.0, 'Nature')
583 (0.0, 'Natural_selection')
584 (0.0, 'Natural_gas')
585 (0.0, 'Napoleonic_Wars')
586 (0.0, 'Napoleon_I_of_France')
587 (0.0, 'Namibia')
588 (0.0, 'NATO')
589 (0.0, 'Myanmar')
590 (0.0, 'Music')
591 (0.0, 'Murray_River')
592 (0.0, 'Munich')
593 (0.0, 'Mummy')
594 (0.0, 'Multiculturalism')
595 (0.0, 'Muhammad')
596 (0.0, 'Mozambique')
597 (0.0, 'Mount_Osmond%2C_South_Australia')
598 (0.0, 'Mosque')
599 (0.0, 'Moscow')
600 (0.0, 'Mosaic')
601 (0.0, 'Morocco')
602 (0.0, 'Mormon')
603 (0.0, 'Moon')
604 (0.0, 'Montserrat')
605 (0.0, 'Montreal')
606 (0.0, 'Mongolia')
607 (0.0, 'Mogadishu')
608 (0.0, 'Mitochondrion')
609 (0.0, 'Mississippi_River')
610 (0.0, 'Minnesota')
611 (0.0, 'Mining')
612 (0.0, 'Ming_Dynasty')
613 (0.0, 'Mineral')
614 (0.0, 'Mind')
615 (0.0, 'Milton_Keynes')
616 (0.0, 'Mikhail_Gorbachev')
617 (0.0, 'Middle_Ages')
618 (0.0, 'Microsoft')
619 (0.0, 'Michelangelo')
620 (0.0, 'Michael_Faraday')
621 (0.0, 'Miami%2C_Florida')
622 (0.0, 'Mexico_City')
623 (0.0, 'Mexico')
624 (0.0, 'Meteorology')
625 (0.0, 'Metallurgy')
626 (0.0, 'Mestizo')
627 (0.0, 'Mercury_%28element%29')
628 (0.0, 'Mercia')
629 (0.0, 'Mercantilism')
630 (0.0, 'Melbourne')
631 (0.0, 'Mediterranean_Sea')
632 (0.0, 'Medieval_music')
633 (0.0, 'Medieval_literature')
634 (0.0, 'Medal_of_Honor')
635 (0.0, 'Meat')
636 (0.0, 'Measles')
637 (0.0, 'Maya_civilization')
638 (0.0, 'Max_Weber')
639 (0.0, 'Max_Planck')
640 (0.0, 'Mauritania')
641 (0.0, 'Matrix_%28mathematics%29')
642 (0.0, 'Mathematics')
643 (0.0, 'Mathematical_analysis')
644 (0.0, 'Mass_media')
645 (0.0, 'Mass_Rapid_Transit_%28Singapore%29')
646 (0.0, 'Marxism')
647 (0.0, 'Martinique')
648 (0.0, 'Martin_Luther_King%2C_Jr.')
649 (0.0, 'Martin_Luther')
650 (0.0, 'Marshall_Plan')
651 (0.0, 'Marshall_Islands')
652 (0.0, 'Mars')
653 (0.0, 'Marco_Polo')
654 (0.0, 'Manufacturing')
655 (0.0, 'Manuel_I_Komnenos')
656 (0.0, 'Manorialism')
657 (0.0, 'Manila')
658 (0.0, 'Manifest_Destiny')
659 (0.0, 'Mandan')
660 (0.0, 'Manchester')
661 (0.0, 'Mammoth')
662 (0.0, 'Mammal')
663 (0.0, 'Malta')
664 (0.0, 'Malaysia')
665 (0.0, 'Malaspina_Glacier')
666 (0.0, 'Malaria')
667 (0.0, 'Maize')
668 (0.0, 'Mahatma_Gandhi')
669 (0.0, 'Mahabharata')
670 (0.0, 'Madrid')
671 (0.0, 'Madagascar')
672 (0.0, 'Machu_Picchu')
673 (0.0, 'Macedon')
674 (0.0, 'Lyndon_B._Johnson')
675 (0.0, 'Luxembourg')
676 (0.0, 'Luftwaffe')
677 (0.0, 'Louis_XIV_of_France')
678 (0.0, 'Louis_Pasteur')
679 (0.0, 'Lothal')
680 (0.0, 'Los_Angeles%2C_California')
681 (0.0, 'London')
682 (0.0, 'Logic')
683 (0.0, 'Lithuania')
684 (0.0, 'Lithium')
685 (0.0, 'Literacy')
686 (0.0, 'List_of_U.S._states_by_date_of_statehood')
687 (0.0, 'List_of_French_monarchs')
688 (0.0, 'Lisbon')
689 (0.0, 'Lion')
690 (0.0, 'Linus_Pauling')
691 (0.0, 'Linguistics')
692 (0.0, 'Limerick')
693 (0.0, 'Life')
694 (0.0, 'Libya')
695 (0.0, 'Library_of_Alexandria')
696 (0.0, 'Library')
697 (0.0, 'Liberia')
698 (0.0, 'Liberalism')
699 (0.0, 'Levee_failures_in_Greater_New_Orleans%2C_2005')
700 (0.0, 'Lesotho')
701 (0.0, 'Leonardo_da_Vinci')
702 (0.0, 'Leon_Trotsky')
703 (0.0, 'Leif_Ericson')
704 (0.0, 'League_of_Nations')
705 (0.0, 'Lead')
706 (0.0, 'Law')
707 (0.0, 'Latin_America')
708 (0.0, 'Latin')
709 (0.0, 'Las_Vegas%2C_Nevada')
710 (0.0, 'Laos')
711 (0.0, 'Language')
712 (0.0, 'Landscape')
713 (0.0, 'Landform')
714 (0.0, 'Lake_Mead')
715 (0.0, 'Lake_Burley_Griffin')
